Category,Values
Programming Languages,"Java, Python, C++, C#, JavaScript, Ruby, PHP, Kotlin, Swift, R, Go, TypeScript"
Frameworks and Libraries,"React, Angular, Vue.js, Django, Flask, Spring Boot, Node.js, Bootstrap, TensorFlow, PyTorch, Keras"
Cloud Platforms,"AWS, Google Cloud Platform, Azure, Firebase, DigitalOcean, Heroku, IBM Cloud, Alibaba Cloud"
DevOps and CI/CD,"Docker, Kubernetes, Jenkins, GitLab, GitHub Actions, Ansible, Terraform, CircleCI, Travis CI"
Databases,"MySQL, PostgreSQL, MongoDB, SQL Server, Oracle Database, SQLite, MariaDB, Firebase Realtime Database, BigQuery"
Data Analysis and Visualization,"Tableau, Power BI, Excel, Google Data Studio, Looker, MATLAB, Alteryx, Qlik Sense, Splunk"
Artificial Intelligence,"Machine Learning, Deep Learning, Natural Language Processing, Reinforcement Learning, Computer Vision"
APIs and Integrations,"API Development, RESTful API, GraphQL, Zapier, Postman, Twilio, Stripe API, Google APIs"
E-commerce Platforms,"Shopify, WooCommerce, Magento, BigCommerce, PrestaShop, Salesforce Commerce Cloud"
CRM and Marketing Tools,"Salesforce, HubSpot, Zoho CRM, Google Analytics, Ahrefs, SEMrush, Mailchimp"
Mobile Development,"Android, iOS, Flutter, React Native, Xamarin, Swift, Kotlin"
Web Development,"HTML, CSS, JavaScript, PHP, WordPress, Wix, Webflow, Squarespace"
Data Engineering,"ETL, Data Pipelines, Airflow, Glue, Data Warehousing, Spark, Hadoop, Databricks"
Version Control,"Git, GitHub, GitLab, Bitbucket, Subversion"
Gaming,"Unity, Unreal Engine, Game Development, Blender, Autodesk Maya, 3D Modeling"
3D Modeling and Animation,"3D Rendering, Blender, Autodesk Maya, Cinema 4D, SketchUp, Lumion, 3ds Max"
Cybersecurity,"Vulnerability Assessment, Penetration Testing, Firewall Management, SOC, SIEM, Cryptography"
BI and Analytics,"Tableau, Power BI, Looker, Excel, Splunk, Google Data Studio"
Automation,"Zapier, Integromat, RPA, Automation Anywhere, UiPath, Blue Prism"
Social Media and Marketing,"Facebook, Instagram, LinkedIn, TikTok, YouTube, Twitter, Pinterest, Google Ads"
Blockchain and Crypto,"Blockchain, Ethereum, Bitcoin, Smart Contracts, NFT, Solidity"
Testing,"Selenium, JUnit, TestNG, Postman, Automated Testing, Manual Testing"
